review,label
Was a little skeptical of ordering fresh fruit from Amazon. I absolutely love fruit and are picky about the freshness/ripeness. I pulled the trigger and wow they did not disappoint. No bruising and not overly ripe. 10/10 would order again.,1
Okay,0
The best strawberries I’ve ever tasted !,0
"I was so disappointed in these strawberries. I new I was taking a risk by produce sight unseen, but was so relieved when they arrived and were large and fresh. Then I ate them. The taste was horrible. They were so tart and tastless at the same time. I ate them with fruit whip and even that couldn't mask the flavor. Lesson learned. Never again!",2
The package looked good until I opened it. I found a few with mold already growing. I ended up having to throw them all away.,0
"The skin was thicker than I expected.  More skin than I am use to in a grapefruit.  No juice, not sweet.  Didn't really taste like grapefruit.  Will not order again.",2
"I bought these rings to use them as pinky rings.  My pinky is size 9.  I went through the rings and picked out all of the rings I wanted, and the rest I was able to gave away to friends.  It was an excellent purchase, and I will buy from this dealer again.  Love, Steve.",1
"Honestly, I was concerned about getting produce picked for me, but when I received it, it was great quality and I definitely will order again!",1
Both pieces were very small selections and they were not worth the amount I was charged for it.  I will never make a purchase like this again.,2
"Always fresh and delicious! Portions for 2 people nicely packaged. Always a delight: great flavor and fresh, fresh, fresh! I'll be buying this all the time. I am buying for one person so I eat one piece and freeze the other. Defrosts well and also tastes yummy.",1
Love love love!!! Best tasting strawberries and very fresh,0
This is the last time I'll be ordering bananas. This is how they arrive every single time. I am done now.,2
I am so mad about buying these bananas. I thought they would come in very yellow almost green but instead they came all black. It was so disgusting. I was basically given a bunch of bananas that were ready to be thrown away. Never again.,2
"Very happy with this product, but I won't buy next time, just bought for convenience, price a little high",2
"The salmon itself is just ok. I marinated and baked it and it was fine. Ordered from Amazon Fresh and it was indeed fresh but you need to be a safe cracker getting into the packaging. I appreciate the need for safe packaging and a responsibility to keep the product fresh, but there are no instructions for opening the sealed plastic container that two portions come in. If you notice the two videos here they don't show the packaging being opened. Took me a half hour to get the two pieces of salmon out without pulling them apart or damaging them. I'd compare it to how hard it is these days to get electronics out of their packages. I would not buy again even if it was the most delicious salmon I ever ate. Which it is not.",2
"I’ve been on the hunt for cute earrings that will hold up in the elements and won’t turn. These have been great so far! I’ve worn 2 pairs out of the pack so far. They are lightweight, and seems to be good quality! I would buy again!",1
"I wanted Halo mandarins but they were out of stock (seems to be a common occurrence with Amazon Fresh) so I thought I would try this 3 lb bag--BIG MISTAKE.  These mandarins were almost impossible to peel and when, after much struggle, I was able to get the rind off. I was left with the inner layer of the rind which clung to the mandarin..  It was either make juice (which if I wanted I would have ordered juice oranges) or eat the the white skin coated mandarins.  This is a NEVER AGAIN purchase from Amazon Fresh!",2
They were super fresh and tasted delicious. They were big strawberries too not the little small ones.,0
It looked like either it was rotted when it was delivered or it was handled roughly. Won’t be buying melons again.,2
