text,final
its covid it self not the vaccine sorry about the miss up,0
na covid ooooo rearing its head pls but d adverse chilly wind is also a big factor abeg so keep warm and keep safe pls covid still dey plus all d vaccination sef,0
good morning aunty yeni in lagos people are being vaccinated on who knows who ive registered for over weeks and ive not been called for the vaccine however i read on dailies that people dont come for the vaccine,2
for where where the vaccine dey,0
waec on which date did buhari received his covid vaccine,0
despite his initial reservations about covid vaccines ffk said he bowed to superior sound logic and superior reasoning as he took the vaccine yesterday in fact oga short fuse grinned after taking his first jab of the vaccine,0
do yall realize youd have probably never made it alive to being adults without vaccines you had vaccines as kids but all of a sudden the covid vaccine is dangerous the ignorance is not funny but stupid stupid because yall putting others at risk,2
hey babe are u astrazeneca because ur essential to my existence,2
talk with your health care provider about the appropriate schedule for vaccination as it may vary based on many factors including age gender and vaccine availability ~ the doctors doctorcare can provide more information,2
theres covid and theres simpever both bad pandemic one get vaccine one get whatsapp masterclass,0
when you are up to date on covid vaccination you can resume many activities with proper precautions eg mask wearing in indoor public spaces,2
this would be expected given that the data includes death that happened before the vaccine was available,0
why do we make this vaccine issue always difficult why do we make things citizens should get always hard are we abused as a people those in other countries are driving to vaccine centres to get jabbed why do we always make things difficult why,2
need to take a covid booster shot hopefully pfizer,2
that you will have to pay for separately i guess you are talking about the vaccine right,0
i like how naysayers are being silenced from the issue of ventilators to threads on vaccine availability etc nigerias emergency preparedness has always been doubted fairly but you do not have to comment on a subject you dont understand kudos,0
taking vaccine does not mean you should not use face mask who ghs,2
then hide palliative so make then hide vaccine too,1
wto ddgs call for heightened cooperation on vaccine availability,0
this vaccine rendered me useless since morning oooo headache + fatigue even the arm sefdey ache me with style,1
welcome ceremony for honorable covid vaccine,2
astrazenecas coronavirus vaccine may not be suitable for young people if its link to blood clots is proven to be true one of no s top scientific advisers suggested yesterday,0
please lets all take part in this my covid vaccine survey feel free to drop your opinions too do you think getting the covid vaccine is important,0
why did he accompanied you if i may ask in case vaccine go wrong,0
there is vaccine,0
like taking the vaccine before youre allowed to enter certain countries,0
astrazeneca covid vaccination first shot today i am still saved sanctified and filled with the holy ghost halleluyah mushin lagos,2
cofounder confident vaccine works against indian variant bointec iyabo ojo | | cctv | aisha buhari,0
are you ready to take the covid vaccine,0
took the vaccine last week friday and i still feel like this wtf,1
i took my covid vaccine jab today monday at the flag off of the fct vaccination campaign i believe it is safe praise god,2
she urged the various stakeholders to help to sensitise the public on the need to embrace it elelu said the twg was set up to map out strategies for the introduction of the vaccine in the state based on templates already established by the federal government,0
three vaccines in use are pfizerbiontech moderna johnson and johnson we will talk about them all,0
the jandj vaccine is so bloody attractive just one shot,2
everything na vaccine to you guys now anyway every seasoning cube na maggi,0
some rich countries have ordered enough vaccine doses to vaccinate their entire country x over tell leaders to urgently share surplus doses w countries in need,2
